JED,Jeddah
RIY,Riyadh
KHO,Khobar
DAM,Dammam
ABA,Abha
ARS,Abu Arish
RAF,Ahad Rafidah
AHS,Al Ahsa
BAH,Al Bahah
BUK,Al Bukayriyah
DIL,Al Dilam
DUW,Al Duwadimi
HAY,Al Hayathem
HOF,Al Hofuf
JUB,Al Jubail
KHR,Al Kharj
MAN,Al Madinah Al Munawwarah
MAJ,Al Majmaah
MIT,Al Mithnab
MUB,Al Mubarraz
QAT,Al Qatif
QUR,Al Qurayyat
RAS,Al Rass
ZUL,Al Zulfi
DAK,Al-Dakal El Mahdod
ARR,Arar
BIS,Bishah
BUR,Buraydah
DHA,Dhahran
BAT,Hafar Al Batin
HAI,Hail
IRQ,Irqah
JAF,Jafr
JAZ,Jazan
KHJ,Khafji
KMT,Khamis Mushait
MEC,Mecca
NYH,Nairyah
QAM,QASSIM
RFH,Rafha
RTR,Ras Tanura
SWA,Safwa
SHT,Saihat
SKK,Sakaka
SHR,Shaqra
TAK,Tabuk
TAF,Taif
TUF,Turaif
TWQ,Twaiq
UYH,Unayzah
YNB,Yanbu
